Sample name,Sample ID,Habitat,Date,Time,Tide,Tidal height,Wind (knots),Sample,Dilution,NO2-N (ppm),NO3-N (ppm),NH3-N (ppm),PO4-P (ppm),
20210114RFH1,KB 001,Flat,2021-01-15,9:30,High,3.2,10,KB 001,1,0.726,2.544,1550,31.8,TRUE
20210114RFH2,KB 002,Flat,2021-01-15,9:30,High,3.2,10,KB 002,1,0.982,1.028,1550,12.5,TRUE
20210114RFH3,KB 003,Flat,2021-01-15,9:30,High,3.2,10,KB 003,1,0.953,4.257,1430,13.5,TRUE
20210114RSH1,KB 004,Slope,2021-01-15,10:15,High,3.3,10,KB 004,1,1.51,0.47,1460,10.9,TRUE
20210114RSH2,KB 005,Slope,2021-01-15,10:15,High,3.3,10,KB 005,1,1.22,0,1510,14.6,TRUE
20210114RSH3,KB 006,Slope,2021-01-15,10:15,High,3.3,10,KB 006,1,0.643,0.757,1550,25.4,TRUE
20210114EXH1,KB 007,Experiment,2021-01-15,12:00,High,2.7,10,KB 007,1,3.07,16.83,1560,53.3,TRUE
20210114EXH2,KB 008,Experiment,2021-01-15,12:00,High,2.7,10,KB 008,1,1.75,20.05,1470,21.6,TRUE
20210114EXH3,KB 009,Experiment,2021-01-15,12:00,High,2.7,10,KB 009,1,3.23,16.87,1460,40.1,TRUE
20210114RFL1,KB 010,Flat,2021-01-15,16:30,Low,0.7,10,KB 010,1,2.46,3.5,1370,16.4,TRUE
20210114RFL2,KB 011,Flat,2021-01-15,16:30,Low,0.7,10,KB 011,1,2.48,3.26,1330,12.3,TRUE
20210114RFL3,KB 012,Flat,2021-01-15,16:30,Low,0.7,10,KB 012,1,2.62,2.74,1360,12.5,TRUE
20210114EXL1,KB 013,Experiment,2021-01-15,16:45,Low,0.7,10,KB 013,1,2.54,21.96,1360,22.4,TRUE
20210114EXL2,KB 014,Experiment,2021-01-15,16:45,Low,0.7,10,KB 014,1,2.37,23.43,1350,23.4,TRUE
20210114EXL3,KB 015,Experiment,2021-01-15,16:45,Low,0.7,10,KB 015,1,2.78,20.42,1390,30.9,TRUE
20210114RSL1,KB 016,Slope,2021-01-15,17:00,Low,0.8,10,KB 016,1,1.57,4.49,1470,24.4,TRUE
20210114RSL2,KB 017,Slope,2021-01-15,17:00,Low,0.8,10,KB 017,1,0.704,4.626,1310,22.3,TRUE
20210114RSL3,KB 018,Slope,2021-01-15,17:00,Low,0.8,10,KB 018,1,1.55,4.17,1410,26.2,TRUE
20210121RFL1,KB 019,Flat,2021-01-21,8:15,Low,1.4,25,KB 019,1,1.7,1.28,1360,11.4,TRUE
20210121RFL2,KB 020,Flat,2021-01-21,8:15,Low,1.4,25,KB 020,1,1.02,1.46,1220,9.53,TRUE
20210121RFL3,KB 021,Flat,2021-01-21,8:15,Low,1.4,25,KB 021,1,0.638,1.372,1300,10,TRUE
20210121RSL1,KB 022,Slope,2021-01-21,9:00,Low,1.5,25,KB 022,1,0.841,5.089,1210,9.72,TRUE
20210121RSL2,KB 023,Slope,2021-01-21,9:00,Low,1.5,25,KB 023,1,0.785,3.545,1280,9.17,TRUE
20210121RSL3,KB 024,Slope,2021-01-21,9:00,Low,1.5,25,KB 024,1,0.936,3.234,1230,10.6,TRUE
20210121EXL1,KB 025,Experiment,2021-01-21,9:30,Low,1.5,25,KB 025,1,2.56,13.94,1230,16.4,TRUE
20210121EXL2,KB 026,Experiment,2021-01-21,9:30,Low,1.5,25,KB 026,1,2.66,12.84,1180,10.8,TRUE
20210121EXL3,KB 027,Experiment,2021-01-21,9:30,Low,1.5,25,KB 027,1,2.11,14.19,1120,10.7,TRUE
20210121RFH1,KB 028,Flat,2021-01-21,14:30,High,2.1,25,KB 028,1,1.21,0.24,1240,9.22,TRUE
20210121RFH2,KB 029,Flat,2021-01-21,14:30,High,2.1,25,KB 029,1,1.99,0.74,1260,10.9,TRUE
20210121RFH3,KB 030,Flat,2021-01-21,14:30,High,2.1,25,KB 030,1,1.11,0.99,1110,8.88,TRUE
20210121EXH1,KB 031,Experiment,2021-01-21,14:45,High,2.1,25,KB 031,1,3.09,16.11,1050,9.5,TRUE
20210121EXH2,KB 032,Experiment,2021-01-21,14:45,High,2.1,25,KB 032,1,2.98,15.92,986,11,TRUE
20210121EXH3,KB 033,Experiment,2021-01-21,14:45,High,2.1,25,KB 033,1,2.43,21.17,1150,12.2,TRUE
20210121RSH1,KB 034,Slope,2021-01-21,15:15,High,2.2,25,KB 034,1,1.33,5.81,197,9.99,TRUE
20210121RSH2,KB 035,Slope,2021-01-21,15:15,High,2.2,25,KB 035,1,1.26,5.24,1300,11.8,TRUE
20210121RSH3,KB 036,Slope,2021-01-21,15:15,High,2.2,25,KB 036,1,1.54,5.64,1180,11.4,TRUE
20210128RFH1,KB 037,Flat,2021-01-28,8:15,High,3.2,20,KB 037,1,1.23,0.28,1220,8.33,TRUE
20210128RFH2,KB 038,Flat,2021-01-28,8:15,High,3.2,20,KB 038,1,1.23,1.01,1260,9.16,TRUE
20210128RFH3,KB 039,Flat,2021-01-28,8:15,High,3.2,20,KB 039,1,0.59,1.2,1180,9.43,TRUE
20210128EXH1,KB 040,Experiment,2021-01-28,8:30,High,3.2,20,KB 040,1,3.1,34.6,1280,12.5,TRUE
20210128EXH2,KB 041,Experiment,2021-01-28,8:30,High,3.2,20,KB 041,1,1.81,23.49,1230,11.8,TRUE
20210128EXH3,KB 042,Experiment,2021-01-28,8:30,High,3.2,20,KB 042,1,2.47,21.83,1230,25.8,TRUE
20210128RSH1,KB 043,Slope,2021-01-28,9:00,High,3.2,20,KB 043,1,0.882,3.238,1250,34.2,TRUE
20210128RSH2,KB 044,Slope,2021-01-28,9:00,High,3.2,20,KB 044,1,1.62,2.98,1280,18.7,TRUE
20210128RSH3,KB 045,Slope,2021-01-28,9:00,High,3.2,20,KB 045,1,1.05,3.78,1300,27.8,TRUE
20210128RFL1,KB 046,Flat,2021-01-28,16:00,Low,0.7,22,KB 046,1,0.952,2.068,1190,10.8,TRUE
20210128RFL2,KB 047,Flat,2021-01-28,16:00,Low,0.7,22,KB 047,1,1.22,1.34,1220,10.5,TRUE
20210128RFL3,KB 048,Flat,2021-01-28,16:00,Low,0.7,22,KB 048,1,1.25,1.63,1290,8.5,TRUE
20210128RSL1,KB 049,Slope,2021-01-28,14:45,Low,0.7,22,KB 049,1,1.47,4.49,1250,11.6,TRUE
20210128RSL2,KB 050,Slope,2021-01-28,14:45,Low,0.7,22,KB 050,1,2.16,3.15,1270,10.5,TRUE
20210128RSL3,KB 051,Slope,2021-01-28,14:45,Low,0.7,22,KB 051,1,0.914,5.486,1360,10.4,TRUE
20210128EXL1,KB 052,Experiment,2021-01-28,16:15,Low,0.8,22,KB 052,1,2.16,29.74,1420,13.8,TRUE
20210128EXL2,KB 053,Experiment,2021-01-28,16:15,Low,0.8,22,KB 053,1,4.23,29.77,1340,13.3,TRUE
20210128EXL3,KB 054,Experiment,2021-01-28,16:15,Low,0.8,22,KB 054,1,2.78,30.22,1430,14.7,TRUE
20210204RSL1,KB 055,Slope,2021-02-04,7:00,Low,1.1,12,KB 055,1,0.55,2.13,1340,8.82,TRUE
20210204RSL2,KB 056,Slope,2021-02-04,7:00,Low,1.1,12,KB 056,1,1.93,1.61,1360,8.61,TRUE
20210204RSL3,KB 057,Slope,2021-02-04,7:00,Low,1.1,12,KB 057,1,1.52,2.7,1420,10.3,TRUE
20210204RFL1,KB 058,Flat,2021-02-04,7:45,Low,1.1,12,KB 058,1,1.51,1.65,1400,8.29,TRUE
20210204RFL2,KB 059,Flat,2021-02-04,7:45,Low,1.1,12,KB 059,1,1.47,0.93,1320,9.7,TRUE
20210204RFL3,KB 060,Flat,2021-02-04,7:45,Low,1.1,12,KB 060,1,2.02,0,1260,8.29,TRUE
20210204EXL1,KB 061,Experiment,2021-02-04,8:00,Low,1.1,12,KB 061,1,3.06,32.04,633,7.89,TRUE
20210204EXL2,KB 062,Experiment,2021-02-04,8:00,Low,1.1,12,KB 062,1,3.37,32.43,593,9.16,TRUE
20210204EXL3,KB 063,Experiment,2021-02-04,8:00,Low,1.1,12,KB 063,1,4,30.6,638,10.6,TRUE
20210204EXH1,KB 064,Experiment,2021-02-04,13:00,High,2.5,15,KB 064,1,2.61,30.79,636,6.6,TRUE
20210204EXH2,KB 065,Experiment,2021-02-04,13:00,High,2.5,15,KB 065,1,3.41,29.59,573,6.22,TRUE
20210204EXH3,KB 066,Experiment,2021-02-04,13:00,High,2.5,15,KB 066,1,2.98,32.32,520,5.95,TRUE
20210204RFH1,KB 067,Flat,2021-02-04,13:25,High,2.5,15,KB 067,1,1.66,1.69,607,2.76,TRUE
20210204RFH2,KB 068,Flat,2021-02-04,13:25,High,2.5,15,KB 068,1,2.01,0.52,553,7.53,TRUE
20210204RFH3,KB 069,Flat,2021-02-04,13:25,High,2.5,15,KB 069,1,1.24,1.9,501,1.73,TRUE
20210204RSH1,KB 070,Slope,2021-02-04,14:00,High,2.5,15,KB 070,1,1.27,0,564,5.06,TRUE
20210204RSH2,KB 071,Slope,2021-02-04,14:00,High,2.5,15,KB 071,1,0.849,1.821,584,4.05,TRUE
20210204RSH3,KB 072,Slope,2021-02-04,14:00,High,2.5,15,KB 072,1,1.11,0.15,694,2.78,TRUE
20210211RFH1,KB 073,Flat,2021-02-11,8:00,High,3.3,10,KB 073,1,1.94,0.98,657,1.65,TRUE
20210211RFH2,KB 074,Flat,2021-02-11,8:00,High,3.3,10,KB 074,1,1.27,0.43,686,1.6,TRUE
20210211RFH3,KB 075,Flat,2021-02-11,8:00,High,3.3,10,KB 075,1,1.96,0,454,1.52,TRUE
20210211EXH1,KB 076,Experiment,2021-02-11,8:15,High,3.3,10,KB 076,1,2.9,56,420,8.17,TRUE
20210211EXH2,KB 077,Experiment,2021-02-11,8:15,High,3.3,10,KB 077,1,4.03,54.97,460,9,TRUE
20210211EXH3,KB 078,Experiment,2021-02-11,8:15,High,3.3,10,KB 078,1,3.12,54.68,573,8.13,TRUE
20210211RSH1,KB 079,Slope,2021-02-11,9:00,High,3.3,10,KB 079,1,1.94,0,509,1.11,TRUE
20210211RSH2,KB 080,Slope,2021-02-11,9:00,High,3.3,10,KB 080,1,1.97,0,1240,2.51,TRUE
20210211RSH3,KB 081,Slope,2021-02-11,9:00,High,3.3,10,KB 081,1,1.52,2.47,481,2.39,TRUE
20210211EXL1,KB 082,Experiment,2021-02-11,14:00,Low,0.8,10,KB 082,1,2.94,44.26,546,7.11,TRUE
20210211EXL2,KB 083,Experiment,2021-02-11,14:00,Low,0.8,10,KB 083,1,3.24,44.56,627,7.43,TRUE
20210211EXL3,KB 084,Experiment,2021-02-11,14:00,Low,0.8,10,KB 084,1,2.76,45.44,619,7.22,TRUE
20210211RSL1,KB 085,Slope,2021-02-11,15:10,Low,0.7,10,KB 085,1,2.13,3.33,615,2.18,TRUE
20210211RSL2,KB 086,Slope,2021-02-11,15:10,Low,0.7,10,KB 086,1,1.59,5.6,572,2.55,TRUE
20210211RSL3,KB 087,Slope,2021-02-11,15:10,Low,0.7,10,KB 087,1,1.16,6.36,625,3.26,TRUE
20210211RFL1,KB 088,Flat,2021-02-11,16:30,Low,0.7,10,KB 088,1,2.72,3.27,535,2.1,TRUE
20210211RFL2,KB 089,Flat,2021-02-11,16:30,Low,0.7,10,KB 089,1,1.82,4.99,600,1.78,TRUE
20210211RFL3,KB 090,Flat,2021-02-11,16:30,Low,0.7,10,KB 090,1,2.38,9.12,749,1.86,TRUE
20210218EXL1,KB 091,Experiment,2021-02-18,5:30,Low,1.6,20,KB 091,1,3.95,22.65,863,47.5,TRUE
20210218EXL2,KB 092,Experiment,2021-02-18,5:30,Low,1.6,20,KB 092,1,3.24,33.96,584,5.96,TRUE
20210218EXL3,KB 093,Experiment,2021-02-18,5:30,Low,1.6,20,KB 093,1,3.75,32.35,654,6.15,TRUE
20210218RFL1,KB 094,Flat,2021-02-18,5:45,Low,1.6,20,KB 094,1,0.902,0.248,663,2.77,TRUE
20210218RFL2,KB 095,Flat,2021-02-18,5:45,Low,1.6,20,KB 095,1,0.812,0,398,3.06,TRUE
20210218RFL3,KB 096,Flat,2021-02-18,5:45,Low,1.6,20,KB 096,1,1.41,0,842,2.93,TRUE
20210218RSL1,KB 097,Slope,2021-02-18,6:30,Low,1.5,20,KB 097,5,1.13,1.55,71.5,4.5,TRUE
20210218RSL2,KB 098,Slope,2021-02-18,6:30,Low,1.5,20,KB 098,5,0,2.29,74.9,3.52,TRUE
20210218RSL3,KB 099,Slope,2021-02-18,6:30,Low,1.5,20,KB 099,5,0.411,1.859,77.5,3.66,TRUE
20210218RFH1,KB 100,Flat,2021-02-18,11:45,High,2,20,KB 100,5,0,1.296,64.7,3.51,TRUE
20210218RFH2,KB 101,Flat,2021-02-18,11:45,High,2,20,KB 101,1,0,0.55,1770,6.17,TRUE
20210218RFH3,KB 102,Flat,2021-02-18,11:45,High,2,20,KB 102,1,1.14,0,1750,5.86,TRUE
20210218EXH1,KB 103,Experiment,2021-02-18,12:00,High,2,20,KB 103,1,2.5,30.4,1810,9.13,TRUE
20210218EXH2,KB 104,Experiment,2021-02-18,12:00,High,2,20,KB 104,1,2.8,32.1,1870,9.04,TRUE
20210218EXH3,KB 105,Experiment,2021-02-18,12:00,High,2,20,KB 105,1,1.74,30.86,1790,8.54,TRUE
20210218RSH1,KB 106,Slope,2021-02-18,12:40,High,2.1,20,KB 106,1,1.72,6.37,1780,6.01,TRUE
20210218RSH2,KB 107,Slope,2021-02-18,12:40,High,2.1,20,KB 107,1,0.6,8.21,1800,6.14,TRUE
20210218RSH3,KB 108,Slope,2021-02-18,12:40,High,2.1,20,KB 108,1,1.95,7.49,1590,6.15,TRUE
20210225RFH1,KB 109,Flat,2021-02-25,6:50,High,3.1,15,KB 109,1,1.66,12.34,1740,6.5,TRUE
20210225RFH2,KB 110,Flat,2021-02-25,6:50,High,3.1,15,KB 110,1,0.513,2.667,1770,5.78,TRUE
20210225RFH3,KB 111,Flat,2021-02-25,6:50,High,3.1,15,KB 111,1,0.95,2.19,1780,6.39,TRUE
20210225EXH1,KB 112,Experiment,2021-02-25,7:10,High,3.2,15,KB 112,1,3.47,49.93,1750,10.8,TRUE
20210225EXH2,KB 113,Experiment,2021-02-25,7:10,High,3.2,15,KB 113,1,3.79,51.01,1750,10.4,TRUE
20210225EXH3,KB 114,Experiment,2021-02-25,7:10,High,3.2,15,KB 114,1,3.38,52.12,1720,10.9,TRUE
20210225RSH1,KB 115,Slope,2021-02-25,8:00,High,3.1,15,KB 115,1,1.39,0.75,1680,6.51,TRUE
20210225RSH2,KB 116,Slope,2021-02-25,8:00,High,3.1,15,KB 116,1,0.991,3.359,1830,5.66,TRUE
20210225RSH3,KB 117,Slope,2021-02-25,8:00,High,3.1,15,KB 117,1,0.0129,2.1571,1850,6.35,TRUE
20210225RSL1,KB 118,Slope,2021-02-25,14:30,Low,0.8,10,KB 118,1,0,9.1691,1670,5.5,TRUE
20210225RSL2,KB 119,Slope,2021-02-25,14:30,Low,0.8,10,KB 119,1,0,6.707,1630,5.6,TRUE
20210225RSL3,KB 120,Slope,2021-02-25,14:30,Low,0.8,10,KB 120,1,0.412,7.258,1650,5.12,TRUE
20210225RFL1,KB 121,Flat,2021-02-25,13:50,Low,0.8,10,KB 121,1,1.32,3,1680,4.73,TRUE
20210225RFL2,KB 122,Flat,2021-02-25,13:50,Low,0.8,10,KB 122,1,0.241,3.659,1690,5.07,TRUE
20210225RFL3,KB 123,Flat,2021-02-25,13:50,Low,0.8,10,KB 123,1,1.58,2.79,1690,4.09,TRUE
20210225EXL1,KB 124,Experiment,2021-02-25,13:50,Low,0.8,10,KB 124,1,2.51,49.69,1660,10.1,TRUE
20210225EXL2,KB 125,Experiment,2021-02-25,13:50,Low,0.8,10,KB 125,1,3.67,48.43,1570,10.1,TRUE
20210225EXL3,KB 126,Experiment,2021-02-25,13:50,Low,0.8,10,KB 126,1,3.53,48.77,1570,10.4,TRUE
20210304RFL1,KB 127,Flat,2021-03-04,6:45,Low,0.9,25,KB 127,1,0.379,1.381,1460,5,TRUE
20210304RFL2,KB 128,Flat,2021-03-04,6:45,Low,0.9,25,KB 128,1,0,1.4229,1350,4.73,TRUE
20210304RFL3,KB 129,Flat,2021-03-04,6:45,Low,0.9,25,KB 129,1,1,1.01,1530,4.62,TRUE
20210304EXL1,KB 130,Experiment,2021-03-04,6:45,Low,0.9,25,KB 130,1,2.25,46.7,1290,11.7,TRUE
20210304EXL2,KB 131,Experiment,2021-03-04,6:45,Low,0.9,25,KB 131,1,2.29,46.2,1700,11.3,TRUE
20210304EXL3,KB 132,Experiment,2021-03-04,6:45,Low,0.9,25,KB 132,1,3.19,46.9,1720,12,TRUE
20210304RFH1,KB 133,Flat,2021-03-04,11:45,High,2.6,25,KB 133,1,0.25,0,1680,3.15,TRUE
20210304RFH2,KB 134,Flat,2021-03-04,11:45,High,2.6,25,KB 134,1,0.394,0,1650,3.45,TRUE
20210304RFH3,KB 135,Flat,2021-03-04,11:45,High,2.6,25,KB 135,1,0.189,0,1710,2.75,TRUE
20210304EXH1,KB 136,Experiment,2021-03-04,12:00,High,2.6,25,KB 136,1,2.83,45.4,1740,10.5,TRUE
20210304EXH2,KB 137,Experiment,2021-03-04,12:00,High,2.6,25,KB 137,1,2.58,47.8,1770,10.7,TRUE
20210304EXH3,KB 138,Experiment,2021-03-04,12:00,High,2.6,25,KB 138,1,2.73,46.2,1540,10.5,TRUE
20210311RFH1,KB 139,Flat,2021-03-11,6:50,High,3.2,12,KB 139,1,0.873,2.2,1170,5.12,TRUE
20210311RFH2,KB 140,Flat,2021-03-11,6:50,High,3.2,12,KB 140,1,0,1.82,270,4.56,TRUE
20210311RFH3,KB 141,Flat,2021-03-11,6:50,High,3.2,12,KB 141,1,0.86,1.99,1500,4.43,TRUE
20210311RSH1,KB 142,Slope,2021-03-11,7:45,High,3.2,12,KB 142,1,0.135,4.42,1490,5.12,TRUE
20210311RSH2,KB 143,Slope,2021-03-11,7:45,High,3.2,12,KB 143,1,0.49,2.85,1480,4.14,TRUE
20210311RSH3,KB 144,Slope,2021-03-11,7:45,High,3.2,12,KB 144,1,0,2.56,1500,4.57,TRUE
20210311EXH1,KB 145,Experiment,2021-03-11,7:10,High,3.2,12,KB 145,1,3.34,58.6,1580,11,TRUE
20210311EXH2,KB 146,Experiment,2021-03-11,7:10,High,3.2,12,KB 146,1,4.18,58.5,1620,10.6,TRUE
20210311EXH3,KB 147,Experiment,2021-03-11,7:10,High,3.2,12,KB 147,1,3.63,57.3,1710,10.4,TRUE
20210311RFL1,KB 148,Flat,2021-03-11,13:45,Low,0.7,12,KB 148,1,0.909,6.94,1420,5.44,TRUE
20210311RFL2,KB 149,Flat,2021-03-11,13:45,Low,0.7,12,KB 149,1,1.06,6,1690,4.63,TRUE
20210311RFL3,KB 150,Flat,2021-03-11,13:45,Low,0.7,12,KB 150,1,0.902,5.26,1630,4.73,TRUE
20210311RSL1,KB 151,Slope,2021-03-11,14:30,Low,0.7,12,KB 151,1,1.13,7.53,1740,5.31,TRUE
20210311RSL2,KB 152,Slope,2021-03-11,14:30,Low,0.7,12,KB 152,1,0.49,7.32,1800,5.12,TRUE
20210311RSL3,KB 153,Slope,2021-03-11,14:30,Low,0.7,12,KB 153,1,0.355,6.64,1520,5.4,TRUE
20210311EXL1,KB 154,Experiment,2021-03-11,13:30,Low,0.7,12,KB 154,1,3.26,48,1700,9.86,TRUE
20210311EXL2,KB 155,Experiment,2021-03-11,13:30,Low,0.7,12,KB 155,1,3.83,48.8,1700,10.1,TRUE
20210311EXL3,KB 156,Experiment,2021-03-11,13:30,Low,0.7,12,KB 156,1,3.77,48.8,1720,9.76,TRUE
20210318RFH1,KB 157,Flat,2021-03-18,10:40,High,2.1,,KB 157,1,0.487,5.54,1630,5.59,TRUE
20210318RFH2,KB 158,Flat,2021-03-18,10:40,High,2.1,,KB 158,1,1.16,6.42,1720,5.09,TRUE
20210318RFH3,KB 159,Flat,2021-03-18,10:40,High,2.1,,KB 159,1,0.166,6.15,1660,5.65,TRUE
20210318RSH1,KB 160,Slope,2021-03-18,11:15,High,2.1,,KB 160,1,1.41,10.1,1780,6.13,TRUE
20210318RSH2,KB 161,Slope,2021-03-18,11:15,High,2.1,,KB 161,2,0.887,4.233,146,4.12,TRUE
20210318RSH3,KB 162,Slope,2021-03-18,11:15,High,2.1,,KB 162,1,2,5.08,1660,5.51,TRUE
20210318EXH1,KB 163,Experiment,2021-03-18,10:20,High,2.1,,KB 163,1,4.4,49.8,1590,10.1,TRUE
20210318EXH2,KB 164,Experiment,2021-03-18,10:20,High,2.1,,KB 164,1,5.52,48.98,1600,10.6,TRUE
20210318EXH3,KB 165,Experiment,2021-03-18,10:20,High,2.1,,KB 165,1,4.41,50.59,1570,10.9,TRUE
20210318RFL1,KB 166,Flat,2021-03-18,16:20,Low,1.2,,KB 166,1,1.93,0,1650,3.63,TRUE
20210318RFL2,KB 167,Flat,2021-03-18,16:20,Low,1.2,,KB 167,1,1.37,0.85,1640,3.93,TRUE
20210318RFL3,KB 168,Flat,2021-03-18,16:20,Low,1.2,,KB 168,1,1.03,0.86,1610,4.28,TRUE
20210318RSL1,KB 169,Slope,2021-03-18,17:15,Low,1.1,,KB 169,1,1.52,2.08,1620,4.25,TRUE
20210318RSL2,KB 170,Slope,2021-03-18,17:15,Low,1.1,,KB 170,1,1.41,2.19,1650,5.01,TRUE
20210318RSL3,KB 171,Slope,2021-03-18,17:15,Low,1.1,,KB 171,1,1.17,1.53,1720,4.22,TRUE
20210318EXL1,KB 172,Experiment,2021-03-18,16:30,Low,1.2,,KB 172,1,5.06,43.74,1590,9.73,TRUE
20210318EXL2,KB 173,Experiment,2021-03-18,16:30,Low,1.2,,KB 173,1,4.46,43.04,1590,9.76,TRUE
20210318EXL3,KB 174,Experiment,2021-03-18,16:30,Low,1.2,,KB 174,1,4.86,42.94,1620,9.55,TRUE
